segmentnr	original	stemmed
BO_T03_D3799:230b-3	bsam mi khyab dang mi mnyam dang // zhes pa ni /	bsam mi khyab dang mi mnyam dang zhes ba ni 
BO_T03_D3799:230b-4	sangs rgyas la sogs pa'i chos thams cad ni bsam pa las 'das pas na bsam gyis mi khyab ces pa'i don to //	sangs rgya la sogs ba chos thams cad ni bsam ba las da ba na bsam gyis mi khyab ces ba don to 
BO_T03_D3799:230b-5	mnyam pa las 'das pas na mi mnyam pa nyid do //	mnyam ba las da ba na mi mnyam ba nyid do 
BO_T03_D3799:230b-6	gzhal dang bgrang las yang dag 'das //	jal dang bgrong las yang dag da 
BO_T03_D3799:230b-7	zhes pa ni /	zhes ba ni 
BO_T03_D3799:230b-8	tshad la sogs pa las 'das pas na gzhal du med pa'o //	tshad la sogs ba las da ba na jal du med ba 
BO_T03_D3799:230b-9	bgrang ba las 'das pas na grangs med pa nyid do //	bgrong ba las da ba na grangs med ba nyid do 
BO_T03_D3799:230b-10	khyad par bzhi po 'dis rim pa ji lta ba bzhin du khyad par 'phags pa sdug bsngal gyi bden par 'gyur ba'i skad cig ma bzhi'o //	khyad ba bzhi po dis rim ba ji lta ba bzhin du khyad ba phag ba sdug sngal gyi bden ba gyur ba skad cig ma bzhi 
BO_T03_D3799:230b-11	'phags pa kun sdud ces pa ni 'phags pa kun kyang bcom ldan 'das ma'i nang du 'dus zhes pa ni khyad par gcig go //	phag ba kun sdud ces ba ni phag ba kun kyang joms ldan da ma nang du du zhes ba ni khyad ba gcig go 
BO_T03_D3799:230b-12	mkhas pa yis /	mkhas ba yis 
BO_T03_D3799:230b-13	rig bya thun mong min zhes nyid //	rig byed thun mong min zhes nyid 
BO_T03_D3799:230b-14	zhes pa ni bcom ldan 'das ma ni mkhas pa'i rig bya ste gnyis pa'o //	zhes ba ni joms ldan da ma ni mkhas ba rig byed ste gnyis ba 
BO_T03_D3799:230b-15	de yang nyan thos la sogs pa dang thun mong ma yin pa nyid kyi dngos po shes pa ste gsum pa'o //	de yang nyan thos la sogs ba dang thun mong ma yin ba nyid kyi dngos po shes ba ste gsum ba 
BO_T03_D3799:230b-16	shes myur nyung dang mang med dang // zhes pa la myur bar mngon par shes pa nyid ces pa bzhi pa ste /	shes myur nyung dang mang med dang zhes ba la myur ba mngon ba shes ba nyid ces ba bzhi ba ste 
BO_T03_D3799:230b-17	khyad par rnam pa bzhis khyad par du 'phags pa ni kun 'byung gi bden par rtogs pa'i skad cig ma bzhi'o //	khyad ba rnam ba bzhis khyad ba du phag ba ni kun byung gi bden ba rtogs ba skad cig ma bzhi 
BO_T03_D3799:230b-18	nyung ba dang mang ba med pa ni nyung dang mang med ces pa khyad par gcig go //	nyung ba dang mang ba med ba ni nyung dang mang med ces ba khyad ba gcig go 
BO_T03_D3799:230b-19	sgrub dang yang dag 'gyur pa dang // zhes pa ni bcom ldan 'das ma sgrub pa ni thos pa las gong nas gong du nyams su myong ba ni gnyis pa'o //	sgrub dang yang dag gyur ba dang zhes ba ni joms ldan da ma sgrub ba ni thos ba las gong nas gong du nyams su myong ba ni gnyis ba 
BO_T03_D3799:230b-20	yang dag 'grub pa ni gong nas gong du sangs rgyas kyi chos rnams thob pa ste gsum pa'o //	yang dag grub ba ni gong nas gong du sangs rgya kyi chos rnams thob ba ste gsum ba 
BO_T03_D3799:230b-21	dmigs pa zhes pa ni bcom ldan 'das ma la bdag nyid thams cad kyi dngos pos dmigs pa'o //	dmigs ba zhes ba ni joms ldan da ma la bdag nyid thams cad kyi dngos pos dmigs ba 
BO_T03_D3799:230b-22	khyad par bzhi po 'dis khyad par du 'phags pa ni 'gog pa'i bden par gtogs pa'i skad cig ma bzhi po rnams so //	khyad ba bzhi po dis khyad ba du phag ba ni gog ba bden ba gtogs ba skad cig ma bzhi po rnams so 
BO_T03_D3799:230b-23	rten dang bcas zhes pa ni rten dang bcas par byang chub sems dpa' gnas pas rten bcas so //	rten dang cha zhes ba ni rten dang cha ba byang chub sems dpa gnas ba rten cha so 
BO_T03_D3799:230b-24	rten gyi sgras 'dir byang chub sems dpas lam dang bcas par gzung bar bya zhes pa ste khyad par gcig go //	rten gyi sgras dir byang chub sems dpas lam dang cha ba gzung ba byed zhes ba ste khyad ba gcig go 
BO_T03_D3799:230b-25	mtha' dag ces pa ni pha rol tu phyin pa thams cad do //	mtha dag ces ba ni pha rol tu phyin ba thams cad do 
BO_T03_D3799:231a-0	mtha' @231a * //	mtha 
BO_T03_D3799:231a-1	dag gi khyad par te gnyis pa'o //	dag gi khyad ba te gnyis ba 
BO_T03_D3799:231a-2	yongs su 'dzin zhes pa ni shes rab kyi pha rol tu phyin pa yongs su 'dzin pa'i byang chub sems dpa' nges par sangs rgyas nyid du 'gyur ro zhes pa ni gsum pa'o //	yongs su dzin zhes ba ni shes rab kyi pha rol tu phyin ba yongs su dzin ba byang chub sems dpa nges ba sangs rgya nyid du gyur ro zhes ba ni gsum ba 
BO_T03_D3799:231a-3	ro myang med ces pa 'di ni byang chub sems dpas dge ba'i rtsa ba thams cad bla na med pa yang dag par rdzogs pa'i byang chub tu yongs su sngo bar byed kyi chos thams cad gzung ba dang 'dzin par des ro myong bar mi byed ces pa	ro myang med ces ba di ni byang chub sems dpas dge ba rtsa ba thams cad bla na med ba yang dag ba rdzogs ba byang chub tu yongs su sngo ba byed kyi chos thams cad gzung ba dang dzin ba des ro myong ba mi byed ces ba 
BO_T03_D3799:231a-4	ste / khyad par rnam pa bzhis khyad par 'phags pa ni lam gyi bden pa'i skad cig ma bzhi pa'o //	ste khyad ba rnam ba bzhis khyad ba phag ba ni lam gyi bden ba skad cig ma bzhi ba 
