segmentnr	original	stemmed
BO_K06_D0022=D0530_H0024=H0498:255a-0	@255a / /rgya gar skad du /	gar skad du 
BO_K06_D0022=D0530_H0024=H0498:255a-1	a'arya s'alp'a ksha ra pra dzny'a pa ra mi t'a n'a ma mah'a y'a na s'u tra /	aarya salpa ksha ra pra dznya ba ra mi ta na ma maha ya na su tra 
BO_K06_D0022=D0530_H0024=H0498:255a-2	bod skad du /	bod skad du 
BO_K06_D0022=D0530_H0024=H0498:255a-3	'phags pa shes rab kyi pha rol tu phyin pa yi ge nyung du zhes bya ba theg pa chen po'i mdo //	phag ba shes rab kyi pha rol tu phyin ba yi ge nyung du zhes byed ba theg ba chen po mdo 
BO_K06_D0022=D0530_H0024=H0498:255a-4	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K06_D0022=D0530_H0024=H0498:255a-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K06_D0022=D0530_H0024=H0498:255b-0	bcom ldan 'das rgyal po'i khab na bya rgod phung po'i ri la dge slong khri nyis stong lnga @255b brgya'i dge slong gi dge 'dun chen po dang / byang chub sems dpa' bye ba khrag khrig 'bum phrag du ma dang thabs cig tu bzhugs te brgya byin dang /	joms ldan da rgyal po khab na byed rgod phung po ri la dge slong khri nyis stong lnga brgya dge slong gi dge dun chen po dang byang chub sems dpa bye ba khrag khrig bum phrag du ma dang thabs cig tu bzhugs te brgya byin dang 
BO_K06_D0022=D0530_H0024=H0498:255b-1	changs pa dang / 'jig rten skyong ba la sogs pa lha bye ba khrag khrig 'bum gyis yongs su bskor cing mdun gyis bltas te dpal gyi snying po'i sengge'i khri la bzhugs so //	changs ba dang jig rten skyong ba la sogs ba lha bye ba khrag khrig bum gyis yongs su skor cing mdun gyis lta te dpal gyi snying po sengge khri la bzhugs so 
BO_K06_D0022=D0530_H0024=H0498:255b-2	de nas byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug stan las langs te bla gos phrag pa gcig tu gzar nas pus mo g-yas pa'i lha nga sa la btsugs te bcom ldan 'das ga la ba de logs su thal mo sbyar	de nas byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug stan las ldang te bla gos phrag ba gcig tu gzar nas pus mo g-yas ba lha nga sa la btsugs te joms ldan da ga la ba de logs su thal mo sbyor 
BO_K06_D0022=D0530_H0024=H0498:255b-3	ba btud nas 'dzum mul te bcom ldan 'das la 'di skad ces gsol to //	ba dud nas dzum mul te joms ldan da la di skad ces gsol to 
BO_K06_D0022=D0530_H0024=H0498:255b-4	bcom ldan 'das /	joms ldan da 
BO_K06_D0022=D0530_H0024=H0498:255b-5	shes rab kyi pha rol tu phyin pa yi ge nyung ngu la bsod nams che ba /	shes rab kyi pha rol tu phyin ba yi ge nyung ngu la bsod nams che ba 
BO_K06_D0022=D0530_H0024=H0498:255b-6	gang thos pa tsam gyis sems can thams cad kyi las kyi sgrib pa thams cad byang bar 'gyur ba dang / byang chub la nges par gzhol bar 'gyur ba dang / gang dag sngags sgrub par brtson pa de dag bgegs ma mchis par gsang sngags 'grub par 'gyur ba bshad du gsol /	gang thos ba tsam gyis sems can thams cad kyi las kyi sgrib ba thams cad byang ba gyur ba dang byang chub la nges ba gzhol ba gyur ba dang gang dag sngags sgrub ba brtson ba de dag bgegs ma mchis ba gsang sngags grub ba gyur ba chad du gsol 
BO_K06_D0022=D0530_H0024=H0498:255b-7	de nas bcom ldan 'das kyis byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug la legs so //	de nas joms ldan da kyis byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug la legs so 
BO_K06_D0022=D0530_H0024=H0498:255b-8	zhes bya ba byin te /	zhes byed ba byin te 
BO_K06_D0022=D0530_H0024=H0498:255b-9	rigs kyi bu khyod yun ring por sems can thams cad la phan pa'i phyir brtson pa legs so //	rigs kyi bu khyod yun ring por sems can thams cad la phan ba phyir brtson ba legs so 
BO_K06_D0022=D0530_H0024=H0498:256a-0	legs so // de'i phyir rigs @256a *//	legs so de phyir rigs 
BO_K06_D0022=D0530_H0024=H0498:256a-1	kyi bu legs par rab tu nyon la yid la zungs shig dang / shes rab kyi pha rol tu phyin pa yi ge nyung ngu la bsod nams che ba /	kyi bu legs ba rab tu nyon la yid la zungs shig dang shes rab kyi pha rol tu phyin ba yi ge nyung ngu la bsod nams che ba 
BO_K06_D0022=D0530_H0024=H0498:256a-2	gang thos pa tsam gyis sems can thams cad kyi las kyi sgrib pa thams cad byang bar 'gyur ba dang / byang chub la nges par gzhol bar 'gyur ba dang / gang dag gsang sngags sgrub par brtson pa de dag bgegs med par spags 'grub par 'gyur ba ngas khyod la bshad do //	gang thos ba tsam gyis sems can thams cad kyi las kyi sgrib ba thams cad byang ba gyur ba dang byang chub la nges ba gzhol ba gyur ba dang gang dag gsang sngags sgrub ba brtson ba de dag bgegs med ba spog grub ba gyur ba ngas khyod la chad do 
BO_K06_D0022=D0530_H0024=H0498:256a-3	de nas byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug gis bcom ldan 'das la 'di skad ces gsol to //	de nas byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug gis joms ldan da la di skad ces gsol to 
BO_K06_D0022=D0530_H0024=H0498:256a-4	sems can thams cad la sman pa'i slad du bshad du gsol /	sems can thams cad la sman ba slad du chad du gsol 
BO_K06_D0022=D0530_H0024=H0498:256a-5	de nas bcom ldan 'das kyis de'i tshe sems can thams cad dgrol ba zhes bya ba'i ting nge 'dzin la snyoms par zhugs so //	de nas joms ldan da kyis de tshe sems can thams cad grol ba zhes byed ba ting nge dzin la snyom ba jug so 
BO_K06_D0022=D0530_H0024=H0498:256a-6	mnyam par bzhag pa dang smin mtshams kyi mdzod spu'i phrag nas 'od zer 'bum phrag du ma byung ste /	mnyam ba jog ba dang smin mtshams kyi mdzod spu phrag nas d zer bum phrag du ma byung ste 
BO_K06_D0022=D0530_H0024=H0498:256a-7	'od zer de dag gis sangs rgyas kyi zhing thams cad khyab par gyur to //	d zer de dag gis sangs rgya kyi zhing thams cad khyab ba gyur to 
BO_K06_D0022=D0530_H0024=H0498:256a-8	sems can gang dag 'od zer des reg pa sems can dmyal ba pa yan chad /	sems can gang dag d zer des reg ba sems can dmyal ba ba yan chad 
BO_K06_D0022=D0530_H0024=H0498:256a-9	sems can de dag thams cad bla na med pa yang dag par rdzogs pa'i byang chub tu nges par gyur to //	sems can de dag thams cad bla na med ba yang dag ba rdzogs ba byang chub tu nges ba gyur to 
BO_K06_D0022=D0530_H0024=H0498:256a-10	sangs rgyas kyi zhing thams cad kyang rnam pa drug tu g-yos so //	sangs rgya kyi zhing thams cad kyang rnam ba drug tu g-yos so 
BO_K06_D0022=D0530_H0024=H0498:256a-11	de bzhin gshegs pa'i zhabs kyi drung du lta'i tsandan gyi phye ma'i char yang phab bo //	de bzhin gshegs ba zhabs kyi drung du lta tsandan gyi byed ma char yang bebs bo 
BO_K06_D0022=D0530_H0024=H0498:256b-0	de nas bcom ldan 'das @256b kyis de'i tshe shes rab kyi pha rol tu phyin pa gsungs pa 'di lta ste /	de nas joms ldan da kyis de tshe shes rab kyi pha rol tu phyin ba gsungs ba di lta ste 
BO_K06_D0022=D0530_H0024=H0498:256b-1	byang chub sems dpas mnyam pa'i sems dang / byams pa'i sems dang / byas pa gzo ba dang / sdig pa thams cad dang bral ba'i sems su bya'o //	byang chub sems dpas mnyam ba sems dang byams ba sems dang byed ba gzo ba dang sdig ba thams cad dang bral ba sems su byed 
BO_K06_D0022=D0530_H0024=H0498:256b-2	shes rab kyi pha rol tu phyin pa'i snying po 'di yang gdon par bya'o //	shes rab kyi pha rol tu phyin ba snying po di yang don ba byed 
