segmentnr	original	folio	stemmed
BO_T08_D4106-1:277b-19	rgan zhugs kho bo cag khyod kyi khur tsa ba dag yin nam /	277b	rgan jug kho bo cag khyod kyi khur tsa ba dag yin nam 
BO_T08_D4106-1:277b-20	des smras pa khyed cag su yin ;	277b	des smras ba khyed cag su yin 
BO_T08_D4106-1:277b-21	tshe dang ldan pa drug sde dag gam /	277b	tshe dang ldan ba drug sde dag gam 
BO_T08_D4106-1:277b-22	yin no // tshe dang ldan pa dag byon pa legs so byon pa legs so //	277b	yin no tshe dang ldan ba dag byon ba legs so byon ba legs so 
BO_T08_D4106-1:277b-23	de dag nang du zhugs nas de dag gis bal gyi khur de dag bshig pa dang / ri rab kyi rnam pa 'dra ba'i phung po chen por rnam par gnas so //	277b	de dag nang du jug nas de dag gis bal gyi khur de dag jig ba dang ri rab kyi rnam ba dra ba phung po chen por rnam ba gnas so 
BO_T08_D4106-1:278a-0	de dag la dge slong rnams @278a * //	278a	de dag la dge slong rnams 
BO_T08_D4106-1:278a-1	kyis smras pa /	278a	kyis smras ba 
BO_T08_D4106-1:278a-2	tshe dang ldan pa dag khyed cag khur 'di lta bu dag thogs na khyod la tho 'tshams pa dag mi 'byung ngam /	278a	tshe dang ldan ba dag khyed cag khur di lta bu dag thogs na khyod la tho tshams ba dag mi byung ngam 
BO_T08_D4106-1:278a-3	tshe dang ldan pa dag ji kho bo cag gis kha zas bza' ba kho na'i phyir mngon par bsgrubs sam /	278a	tshe dang ldan ba dag ji kho bo cag gis kha zas bza ba kho na phyir mngon ba sgrub sam 
BO_T08_D4106-1:278a-4	gang kho bo cag la tho 'tshams bar byed pa de la kho bo cag gis kyang nyis bsgyur sbyin par bya'o zhes zer na /	278a	gang kho bo cag la tho tshams ba byed ba de la kho bo cag gis kyang nyis sgyur sbyin ba byed zhes zer na 
BO_T08_D4106-1:278a-5	dge slong don nyung ngu dag ci'i phyir dge slong dag yan lag gang gis ngo tsha bar bya ba'i yan lag de nyid kyis khengs par byed ces smod par byed //	278a	dge slong don nyung ngu dag ci phyir dge slong dag yan lag gang gis ngo tsha ba byed ba yan lag de nyid kyis kheng ba byed ces smod ba byed 
BO_T08_D4106-1:278a-6	phyar kha gtong bar byed /	278a	phyar kha gtong ba byed 
BO_T08_D4106-1:278a-7	kha zer bar byed ba'i skabs de dge slong rnams kyis bcom ldan 'das la gsol to //	278a	kha zer ba byed ba skabs de dge slong rnams kyis joms ldan da la gsol to 
BO_T08_D4106-1:278a-8	de nas bcom ldan 'das kyis byung ba 'di dang / gleng gzhi 'di dang / skabs 'di la dge slong gi dge 'dun bsdu ba mdzad de /	278a	de nas joms ldan da kyis byung ba di dang gleng gzhi di dang skabs di la dge slong gi dge dun sdud ba mdzad de 
BO_T08_D4106-1:278a-9	drug sde dag la rmas nas /	278a	drug sde dag la rmas nas 
BO_T08_D4106-1:278a-10	rnam grangs du mar smad de bslab pa bca' ba'i phan yon bcu yang dag par gzigs pas nga'i nyan thos rnams kyis 'dul ba la bslab pa'i gzhi 'di ltar gdon par bya ste /	278a	rnam grangs du mar smad de bslab ba chos ba phan yon chu yang dag ba gzigs ba nga nyan thos rnams kyis dul ba la bslab ba gzhi di ltar don ba byed ste 
BO_T08_D4106-1:278a-11	dge slong lam du zhugs pas lug bal dag rnyed la 'dod na dge slong des blang bar bya'o //	278a	dge slong lam du jug ba lug bal dag rnyed la dod na dge slong des blang ba byed 
BO_T08_D4106-1:278a-12	blangs nas khyer ba med na dpag tshad gsum gyi mtha'i bar du bdag nyid kyis bskur bar bya'o //	278a	blangs nas khyer ba med na dpog tshad gsum gyi mtha ba du bdag nyid kyis skur ba byed 
BO_T08_D4106-1:278a-13	de las 'das par khyer na spang ba'i ltung byed do zhes bca' ba mdzad de /	278a	de las da ba khyer na spong ba ltung byed do zhes chos ba mdzad de 
BO_T08_D4106-1:278a-14	yul ni mnyan yod /	278a	yul ni nyan yod 
BO_T08_D4106-1:278a-15	gang zag ni drug sde /	278a	gang zag ni drug sde 
BO_T08_D4106-1:278a-16	nyon mongs pa ni 'dod zhen dang ngo tsha med pa /	278a	nyon mongs ba ni dod zhen dang ngo tsha med ba 
BO_T08_D4106-1:278a-17	nyes pa ni rgyang grags kyi mthar bal khur ba'o //	278a	nyes ba ni rgyang grags kyi mthar bal khur ba 
BO_T08_D4106-1:278a-18	de la dge slong zhes bya ba ni drug sde'am /	278a	de la dge slong zhes byed ba ni drug sde 
BO_T08_D4106-1:278a-19	gzhan yang de lta bu gang yin pa'o //	278a	gzhan yang de lta bu gang yin ba 
BO_T08_D4106-1:278a-20	lam du zhugs pas zhes bya ba ni dgon pa'i lam du zhugs pas so //	278a	lam du jug ba zhes byed ba ni dgon ba lam du jug ba so 
BO_T08_D4106-1:278a-21	lug bal dag ces bya ba ni lug gi bal dag go //	278a	lug bal dag ces byed ba ni lug gi bal dag go 
