segmentnr	original	folio	stemmed
BO_K02_D0008-7_H0009-7:203a-18	skyes bu yongs su dag pa dang / de bzhin gshegs pa'i stobs yongs su dag pa 'di la gnyis su med de /	203a	skye bu yongs su dag ba dang de bzhin gshegs ba stobs yongs su dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:203a-19	gnyis su byar med so so ma yin tha mi dad do //	203a	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:203a-20	skyes bu yongs su dag pas mi 'jigs pa yongs su dag pa /	203a	skye bu yongs su dag ba mi jigs ba yongs su dag ba 
BO_K02_D0008-7_H0009-7:203a-21	mi 'jigs pa yongs su dag pas skyes bu yongs su dag pa ste /	203a	mi jigs ba yongs su dag ba skye bu yongs su dag ba ste 
BO_K02_D0008-7_H0009-7:203a-22	de ltar na /	203a	de ltar na 
BO_K02_D0008-7_H0009-7:203a-23	skyes bu yongs su dag pa dang / mi 'jigs pa yongs su dag pa 'di la gnyis su med de /	203a	skye bu yongs su dag ba dang mi jigs ba yongs su dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:203b-0	@203b gnyis su byar med so so ma yin tha mi dad do //	203b	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:203b-1	skyes bu yongs su dag pas so so yang dag par rig pa yongs su dag pa /	203b	skye bu yongs su dag ba so so yang dag ba rig ba yongs su dag ba 
BO_K02_D0008-7_H0009-7:203b-2	so so yang dag par rig pa yongs su dag pas skyes bu yongs su dag pa ste /	203b	so so yang dag ba rig ba yongs su dag ba skye bu yongs su dag ba ste 
BO_K02_D0008-7_H0009-7:203b-3	de ltar na /	203b	de ltar na 
BO_K02_D0008-7_H0009-7:203b-4	skyes bu yongs su dag pa dang / so so yang dag par rig pa yongs su dag pa 'di la gnyis su med de /	203b	skye bu yongs su dag ba dang so so yang dag ba rig ba yongs su dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:203b-5	gnyis su byar med so so ma yin tha mi dad do //	203b	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:203b-6	skyes bu yongs su dag pas byams pa chen po yongs su dag pa /	203b	skye bu yongs su dag ba byams ba chen po yongs su dag ba 
BO_K02_D0008-7_H0009-7:203b-7	byams pa chen po yongs su dag pas skyes bu yongs su dag pa ste /	203b	byams ba chen po yongs su dag ba skye bu yongs su dag ba ste 
BO_K02_D0008-7_H0009-7:203b-8	de ltar na /	203b	de ltar na 
BO_K02_D0008-7_H0009-7:203b-9	skyes bu yongs su dag pa dang / byams pa chen po yongs su dag pa 'di la gnyis su med de /	203b	skye bu yongs su dag ba dang byams ba chen po yongs su dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:203b-10	gnyis su byar med so so ma yin tha mi dad do //	203b	gnyis su byar med so so ma yin tha mi dad do 
BO_K02_D0008-7_H0009-7:203b-11	skyes bu yongs su dag pas snying rje chen po yongs su dag pa /	203b	skye bu yongs su dag ba snying rje chen po yongs su dag ba 
BO_K02_D0008-7_H0009-7:203b-12	snying rje chen po yongs su dag pas skyes bu yongs su dag pa ste /	203b	snying rje chen po yongs su dag ba skye bu yongs su dag ba ste 
BO_K02_D0008-7_H0009-7:203b-13	de ltar na /	203b	de ltar na 
BO_K02_D0008-7_H0009-7:203b-14	skyes bu yongs su dag pa dang / snying rje chen po yongs su dag pa 'di la gnyis su med de /	203b	skye bu yongs su dag ba dang snying rje chen po yongs su dag ba di la gnyis su med de 
BO_K02_D0008-7_H0009-7:203b-15	gnyis su byar med so so ma yin tha mi dad do //	203b	gnyis su byar med so so ma yin tha mi dad do 
