segmentnr	original	analyzed	folio	translated
['BO_T02_D3190:201a-0']	@201a # // rgya gar skad du /	@201a # // rgya gar skad du /	201a	In Sanskrit:
['BO_T02_D3190:201a-1']	pra dzny'a bardha /	pra dzny'a bardha /	201a	Prajñāvardhana
['BO_T02_D3190:201a-2']	bod skad du /	bod skad du /	201a	In Tibetan:
['BO_T02_D3190:201a-3']	shes rab bskyed pa /	shes rab bskyed pa /	201a	Increasing wisdom
['BO_T02_D3190:201a-4']	skad cig gis 'jam dpal gyi rnal 'byor du dmigs la /	skad cig gis 'jam dpal gyi rnal 'byor du dmigs la /	201a	In an instant, visualize yourself as Mañjuśrī.
['BO_T02_D3190:201a-5']	lte bar zla ba'i dkyil 'khor gyi steng du thig le dkar po mar me gsal bar 'bar pa lta bu 'od zer dang bcas pa rnam par bsams te /	lte bar zla ba'i dkyil 'khor gyi steng du thig le dkar po mar me gsal bar 'bar pa lta bu 'od zer dang bcas pa rnam par bsams te /	201a	At the navel, on top of a moon disc, imagine a white drop, like a bright shining lamp with light rays.
['BO_T02_D3190:201a-6']	mgo po la nyams pa med pa'i yi ge ham dkar po mgo bo las 'dzag par gyur pa 'od zer dang bcas pa bsgom par bya ba'o //	mgo po la nyams pa med pa'i yi ge ham dkar po mgo bo las 'dzag par gyur pa 'od zer dang bcas pa bsgom par bya ba'o //	201a	Meditate on the white syllable ham above the head, dripping from the head, becoming a fluid with light rays.
['BO_T02_D3190:201a-7']	de'i rjes su thig le'i 'od zer gyis legs par bskul bas khu bar gyur nas yi ge ham gis thig le kun nas khyab par gyur pa la sems brtan pa'i sngags pa ni ring po mi thogs par shes rab mngon par 'phel bar 'gyur ro //	de'i rjes su thig le'i 'od zer gyis legs par bskul bas khu bar gyur nas yi ge ham gis thig le kun nas khyab par gyur pa la sems brtan pa'i sngags pa ni ring po mi thogs par shes rab mngon par 'phel bar 'gyur ro //	201a	After that, the drop is well-stimulated by the light rays, becoming a fluid. The syllable ham completely pervades the drop. The mantra practitioner who stabilizes the mind will, before long, manifestly increase wisdom.
['BO_T02_D3190:201a-8']	shes rab mngon par bskyed pa /	shes rab mngon par bskyed pa /	201a	Increasing wisdom
['BO_T02_D3190:201a-9']	aa bha ya las tshul khrims rgyal mtshan gyis bsgyur pa'o//	aa bha ya las tshul khrims rgyal mtshan gyis bsgyur pa'o//	201a	Translated by Abhayakīrti and Tsultrim Gyaltsen
